Constituency,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,%_of_Votes,Tot_Constituency_votes_polled,Tot_votes_by_parties,Winning_votes,Win_Lost_Flag
Kalchini,Rahul Reddy,Bharatiya Janata Party,11078,111,11189,5.19,215581,11189,76696,False
Kalchini,Sunil Kumar,Indian National Congress,8654,87,8741,4.05,215581,8741,76696,False
Kalchini,Manoj Das,Communist Party of India (Marxist),2130,21,2151,1.0,215581,2151,76696,False
Kalchini,Amit Menon,Independent,1309,13,1322,0.61,215581,1322,76696,False
Alipurduars,Rahul Roy,Communist Party of India (Marxist),40888,413,41301,25.96,159067,41301,41301,True
Alipurduars,Ramesh Das,All India Trinamool Congress,24037,242,24279,15.26,159067,24279,41301,False
Alipurduars,Sanjay Bora,Indian National Congress,23748,239,23987,15.08,159067,23987,41301,False
Alipurduars,Rahul Patel,None of the Above,18943,191,19134,12.03,159067,19134,41301,False
Alipurduars,Sanjay Sen,Bharatiya Janata Party,17167,173,17340,10.9,159067,17340,41301,False
Alipurduars,Deepa Reddy,Independent,4091,41,4132,2.6,159067,4132,41301,False
Falakata,Amit Sen,Indian National Congress,59793,603,60396,35.03,172403,60396,60396,True
Falakata,Sunil Kumar,Bharatiya Janata Party,41569,419,41988,24.35,172403,41988,60396,False
Falakata,Priya Patel,None of the Above,12622,127,12749,7.39,172403,12749,60396,False
Falakata,Amit Nair,Communist Party of India (Marxist),9124,92,9216,5.35,172403,9216,60396,False
Falakata,Anjali Kumar,All India Trinamool Congress,7846,79,7925,4.6,172403,7925,60396,False
Falakata,Kavita Das,Independent,1853,18,1871,1.09,172403,1871,60396,False
Madarihat,Manoj Menon,Indian National Congress,61153,617,61770,30.34,203564,61770,61770,True
Madarihat,Ramesh Roy,All India Trinamool Congress,59189,597,59786,29.37,203564,59786,61770,False
Madarihat,Amit Kumar,Communist Party of India (Marxist),23842,240,24082,11.83,203564,24082,61770,False
Madarihat,Ramesh Gogoi,None of the Above,22219,224,22443,11.03,203564,22443,61770,False
Madarihat,Rahul Reddy,Bharatiya Janata Party,1939,19,1958,0.96,203564,1958,61770,False
Madarihat,Anjali Gogoi,Independent,346,3,349,0.17,203564,349,61770,False
Dhupguri,Priya Roy,Bharatiya Janata Party,46061,465,46526,19.61,237283,46526,46526,True
Dhupguri,Suresh Gogoi,Communist Party of India (Marxist),45499,459,45958,19.37,237283,45958,46526,False
Dhupguri,Kavita Sen,All India Trinamool Congress,39232,396,39628,16.7,237283,39628,46526,False
Dhupguri,Suresh Roy,Indian National Congress,24721,249,24970,10.52,237283,24970,46526,False
Dhupguri,Deepa Sharma,None of the Above,4571,46,4617,1.95,237283,4617,46526,False
Dhupguri,Suresh Kumar,Independent,2088,21,2109,0.89,237283,2109,46526,False
Maynaguri,Ramesh Menon,All India Trinamool Congress,46468,469,46937,30.83,152241,46937,46937,True
Maynaguri,Suresh Menon,Indian National Congress,45415,458,45873,30.13,152241,45873,46937,False
Maynaguri,Manoj Gogoi,Communist Party of India (Marxist),5314,53,5367,3.53,152241,5367,46937,False
Maynaguri,Kavita Das,Independent,3951,39,3990,2.62,152241,3990,46937,False
Maynaguri,Anjali Patel,Bharatiya Janata Party,2631,26,2657,1.75,152241,2657,46937,False
Maynaguri,Anjali Nair,None of the Above,953,9,962,0.63,152241,962,46937,False
Jalpaiguri,Suresh Nair,All India Trinamool Congress,62353,629,62982,31.36,200833,62982,62982,True
Jalpaiguri,Sanjay Menon,Indian National Congress,47980,484,48464,24.13,200833,48464,62982,False
Jalpaiguri,Amit Patel,Bharatiya Janata Party,34702,350,35052,17.45,200833,35052,62982,False
Jalpaiguri,Sanjay Bora,None of the Above,25495,257,25752,12.82,200833,25752,62982,False
Jalpaiguri,Kavita Sen,Communist Party of India (Marxist),2134,21,2155,1.07,200833,2155,62982,False
Jalpaiguri,Sunil Sen,Independent,149,1,150,0.07,200833,150,62982,False
Rajganj,Ramesh Nair,Communist Party of India (Marxist),61264,618,61882,31.12,198872,61882,61882,True
Rajganj,Kavita Roy,Bharatiya Janata Party,33366,337,33703,16.95,198872,33703,61882,False
Rajganj,Rahul Gogoi,Indian National Congress,31524,318,31842,16.01,198872,31842,61882,False
Rajganj,Amit Roy,All India Trinamool Congress,7432,75,7507,3.77,198872,7507,61882,False
Rajganj,Sunil Gogoi,None of the Above,5379,54,5433,2.73,198872,5433,61882,False
Rajganj,Deepa Menon,Independent,2475,25,2500,1.26,198872,2500,61882,False
Dabgram-Phulbari,Sunil Gogoi,Bharatiya Janata Party,96558,975,97533,40.42,241284,97533,97533,True
Dabgram-Phulbari,Ramesh Singh,Indian National Congress,32266,325,32591,13.51,241284,32591,97533,False
Dabgram-Phulbari,Rahul Gogoi,All India Trinamool Congress,28304,285,28589,11.85,241284,28589,97533,False
Dabgram-Phulbari,Amit Sharma,None of the Above,19831,200,20031,8.3,241284,20031,97533,False
Dabgram-Phulbari,Priya Roy,Communist Party of India (Marxist),11484,116,11600,4.81,241284,11600,97533,False
Dabgram-Phulbari,Sanjay Gogoi,Independent,2195,22,2217,0.92,241284,2217,97533,False
Nagrakata,Sunil Patel,All India Trinamool Congress,58596,591,59187,27.7,213706,59187,59187,True
Nagrakata,Sanjay Sharma,Communist Party of India (Marxist),28568,288,28856,13.5,213706,28856,59187,False
Nagrakata,Suresh Kumar,Indian National Congress,14147,142,14289,6.69,213706,14289,59187,False
Nagrakata,Anjali Das,None of the Above,8182,82,8264,3.87,213706,8264,59187,False
Nagrakata,Kavita Menon,Bharatiya Janata Party,5465,55,5520,2.58,213706,5520,59187,False
Nagrakata,Ramesh Sen,Independent,2479,25,2504,1.17,213706,2504,59187,False
Kalimpong,Sanjay Das,All India Trinamool Congress,47242,477,47719,24.28,196556,47719,47719,True
Kalimpong,Anita Patel,Bharatiya Janata Party,45318,457,45775,23.29,196556,45775,47719,False
Kalimpong,Anjali Sen,Indian National Congress,36713,370,37083,18.87,196556,37083,47719,False
Kalimpong,Sunil Sharma,Communist Party of India (Marxist),27101,273,27374,13.93,196556,27374,47719,False
Kalimpong,Sunil Patel,None of the Above,2104,21,2125,1.08,196556,2125,47719,False
Kalimpong,Suresh Menon,Independent,256,2,258,0.13,196556,258,47719,False
Darjeeling,Sunil Patel,Bharatiya Janata Party,69309,700,70009,42.15,166103,70009,70009,True
Darjeeling,Manoj Singh,All India Trinamool Congress,18755,189,18944,11.4,166103,18944,70009,False
Darjeeling,Deepa Singh,Indian National Congress,15154,153,15307,9.22,166103,15307,70009,False
Darjeeling,Anjali Reddy,Communist Party of India (Marxist),6279,63,6342,3.82,166103,6342,70009,False
Darjeeling,Rahul Patel,None of the Above,2170,21,2191,1.32,166103,2191,70009,False
Darjeeling,Sanjay Reddy,Independent,622,6,628,0.38,166103,628,70009,False
Kurseong,Suresh Kumar,Bharatiya Janata Party,35618,359,35977,20.31,177102,35977,35977,True
Kurseong,Amit Nair,Communist Party of India (Marxist),29357,296,29653,16.74,177102,29653,35977,False
Kurseong,Ramesh Singh,None of the Above,19624,198,19822,11.19,177102,19822,35977,False
Kurseong,Priya Menon,All India Trinamool Congress,11565,116,11681,6.6,177102,11681,35977,False
Kurseong,Ramesh Sharma,Indian National Congress,3942,39,3981,2.25,177102,3981,35977,False
Kurseong,Ramesh Gogoi,Independent,2331,23,2354,1.33,177102,2354,35977,False
Matigara-Naxalbari,Suresh Sen,All India Trinamool Congress,43006,434,43440,18.5,234845,43440,43440,True
Matigara-Naxalbari,Manoj Roy,Indian National Congress,31675,319,31994,13.62,234845,31994,43440,False
Matigara-Naxalbari,Deepa Menon,Communist Party of India (Marxist),7260,73,7333,3.12,234845,7333,43440,False
Matigara-Naxalbari,Kavita Menon,None of the Above,3720,37,3757,1.6,234845,3757,43440,False
Matigara-Naxalbari,Anjali Das,Independent,3413,34,3447,1.47,234845,3447,43440,False
Matigara-Naxalbari,Anita Roy,Bharatiya Janata Party,2757,27,2784,1.19,234845,2784,43440,False
Siliguri,Suresh Sharma,All India Trinamool Congress,79352,801,80153,33.68,237951,80153,80153,True
Siliguri,Amit Singh,Bharatiya Janata Party,58365,589,58954,24.78,237951,58954,80153,False
Siliguri,Deepa Menon,Communist Party of India (Marxist),32837,331,33168,13.94,237951,33168,80153,False
Siliguri,Deepa Reddy,Indian National Congress,18635,188,18823,7.91,237951,18823,80153,False
Siliguri,Sanjay Sen,None of the Above,18075,182,18257,7.67,237951,18257,80153,False
Siliguri,Anjali Das,Independent,1672,16,1688,0.71,237951,1688,80153,False
Phansidewa,Sunil Nair,Bharatiya Janata Party,61632,622,62254,26.82,232137,62254,62254,True
Phansidewa,Kavita Patel,Indian National Congress,45672,461,46133,19.87,232137,46133,62254,False
Phansidewa,Ramesh Bora,Communist Party of India (Marxist),42723,431,43154,18.59,232137,43154,62254,False
Phansidewa,Deepa Bora,None of the Above,24951,252,25203,10.86,232137,25203,62254,False
Phansidewa,Priya Sen,All India Trinamool Congress,10849,109,10958,4.72,232137,10958,62254,False
Phansidewa,Suresh Sharma,Independent,1960,19,1979,0.85,232137,1979,62254,False
Chopra,Manoj Sen,All India Trinamool Congress,90582,914,91496,45.63,200501,91496,91496,True
Chopra,Deepa Sen,Bharatiya Janata Party,32208,325,32533,16.23,200501,32533,91496,False
Chopra,Anjali Singh,Indian National Congress,22880,231,23111,11.53,200501,23111,91496,False
Chopra,Sunil Kumar,Communist Party of India (Marxist),21366,215,21581,10.76,200501,21581,91496,False
Chopra,Anjali Gogoi,None of the Above,10147,102,10249,5.11,200501,10249,91496,False
Chopra,Sanjay Das,Independent,1897,19,1916,0.96,200501,1916,91496,False
Islampur,Kavita Roy,Indian National Congress,98493,994,99487,43.36,229468,99487,99487,True
Islampur,Priya Das,None of the Above,16321,164,16485,7.18,229468,16485,99487,False
Islampur,Amit Gogoi,All India Trinamool Congress,7589,76,7665,3.34,229468,7665,99487,False
Islampur,Amit Bora,Bharatiya Janata Party,6321,63,6384,2.78,229468,6384,99487,False
Islampur,Sanjay Nair,Communist Party of India (Marxist),5629,56,5685,2.48,229468,5685,99487,False
Islampur,Kavita Bora,Independent,1282,12,1294,0.56,229468,1294,99487,False
Goalpokhar,Suresh Patel,Indian National Congress,53620,541,54161,28.98,186888,54161,54161,True
Goalpokhar,Anita Sharma,Bharatiya Janata Party,52194,527,52721,28.21,186888,52721,54161,False
Goalpokhar,Suresh Nair,All India Trinamool Congress,23409,236,23645,12.65,186888,23645,54161,False
Goalpokhar,Anita Patel,None of the Above,5095,51,5146,2.75,186888,5146,54161,False
Goalpokhar,Suresh Singh,Communist Party of India (Marxist),3928,39,3967,2.12,186888,3967,54161,False
Goalpokhar,Anjali Sharma,Independent,1116,11,1127,0.6,186888,1127,54161,False
Chakulia,Kavita Menon,Bharatiya Janata Party,62676,633,63309,36.77,172179,63309,63309,True
Chakulia,Deepa Gogoi,All India Trinamool Congress,44449,448,44897,26.08,172179,44897,63309,False
Chakulia,Deepa Patel,Communist Party of India (Marxist),23726,239,23965,13.92,172179,23965,63309,False
Chakulia,Ramesh Singh,Indian National Congress,7347,74,7421,4.31,172179,7421,63309,False
Chakulia,Amit Roy,Independent,3033,30,3063,1.78,172179,3063,63309,False
Chakulia,Anita Gogoi,None of the Above,2768,27,2795,1.62,172179,2795,63309,False
Karandighi,Manoj Reddy,All India Trinamool Congress,56293,568,56861,29.8,190805,56861,56861,True
Karandighi,Ramesh Bora,Communist Party of India (Marxist),43360,437,43797,22.95,190805,43797,56861,False
Karandighi,Priya Patel,None of the Above,27205,274,27479,14.4,190805,27479,56861,False
Karandighi,Priya Kumar,Indian National Congress,15800,159,15959,8.36,190805,15959,56861,False
Karandighi,Priya Roy,Bharatiya Janata Party,11478,115,11593,6.08,190805,11593,56861,False
Karandighi,Suresh Sen,Independent,1972,19,1991,1.04,190805,1991,56861,False
Hemtabad,Sunil Roy,Bharatiya Janata Party,66964,676,67640,28.75,235238,67640,67640,True
Hemtabad,Deepa Kumar,Indian National Congress,46889,473,47362,20.13,235238,47362,67640,False
Hemtabad,Deepa Roy,All India Trinamool Congress,30960,312,31272,13.29,235238,31272,67640,False
Hemtabad,Anita Das,Communist Party of India (Marxist),27387,276,27663,11.76,235238,27663,67640,False
Hemtabad,Anjali Reddy,Independent,3831,38,3869,1.64,235238,3869,67640,False
Hemtabad,Suresh Gogoi,None of the Above,3426,34,3460,1.47,235238,3460,67640,False
Kaliaganj,Priya Sharma,All India Trinamool Congress,77853,786,78639,32.43,242478,78639,78639,True
Kaliaganj,Kavita Gogoi,Indian National Congress,35636,359,35995,14.84,242478,35995,78639,False
Kaliaganj,Deepa Roy,Communist Party of India (Marxist),24294,245,24539,10.12,242478,24539,78639,False
Kaliaganj,Rahul Singh,Bharatiya Janata Party,12502,126,12628,5.21,242478,12628,78639,False
Kaliaganj,Suresh Nair,Independent,2544,25,2569,1.06,242478,2569,78639,False
Kaliaganj,Sanjay Sen,None of the Above,1390,14,1404,0.58,242478,1404,78639,False
Raiganj,Kavita Menon,Bharatiya Janata Party,100243,1012,101255,40.6,249395,101255,101255,True
Raiganj,Manoj Sen,Indian National Congress,47201,476,47677,19.12,249395,47677,101255,False
Raiganj,Ramesh Reddy,All India Trinamool Congress,23580,238,23818,9.55,249395,23818,101255,False
Raiganj,Anjali Gogoi,Communist Party of India (Marxist),22138,223,22361,8.97,249395,22361,101255,False
Raiganj,Ramesh Sharma,None of the Above,6853,69,6922,2.78,249395,6922,101255,False
Raiganj,Priya Bora,Independent,3447,34,3481,1.4,249395,3481,101255,False
Itahar,Sunil Sharma,Bharatiya Janata Party,91084,920,92004,37.77,243593,92004,92004,True
Itahar,Rahul Menon,Communist Party of India (Marxist),24513,247,24760,10.16,243593,24760,92004,False
Itahar,Priya Sharma,Indian National Congress,17230,174,17404,7.14,243593,17404,92004,False
Itahar,Sanjay Bora,All India Trinamool Congress,15930,160,16090,6.61,243593,16090,92004,False
Itahar,Deepa Reddy,None of the Above,8644,87,8731,3.58,243593,8731,92004,False
Itahar,Ramesh Bora,Independent,4551,45,4596,1.89,243593,4596,92004,False
Kushmandi,Kavita Roy,Bharatiya Janata Party,79987,807,80794,38.85,207986,80794,80794,True
Kushmandi,Priya Reddy,Communist Party of India (Marxist),22488,227,22715,10.92,207986,22715,80794,False
Kushmandi,Manoj Das,Indian National Congress,13692,138,13830,6.65,207986,13830,80794,False
Kushmandi,Sunil Reddy,All India Trinamool Congress,9835,99,9934,4.78,207986,9934,80794,False
Kushmandi,Priya Singh,None of the Above,7072,71,7143,3.43,207986,7143,80794,False
Kushmandi,Sanjay Reddy,Independent,4126,41,4167,2.0,207986,4167,80794,False
Kumarganj,Kavita Roy,All India Trinamool Congress,80848,816,81664,33.94,240636,81664,81664,True
Kumarganj,Amit Roy,None of the Above,47296,477,47773,19.85,240636,47773,81664,False
Kumarganj,Priya Roy,Communist Party of India (Marxist),26112,263,26375,10.96,240636,26375,81664,False
Kumarganj,Rahul Roy,Bharatiya Janata Party,13907,140,14047,5.84,240636,14047,81664,False
Kumarganj,Sanjay Bora,Indian National Congress,9322,94,9416,3.91,240636,9416,81664,False
Kumarganj,Kavita Bora,Independent,4269,43,4312,1.79,240636,4312,81664,False
Balurghat,Priya Kumar,Indian National Congress,32027,323,32350,20.89,154870,32350,32350,True
Balurghat,Anjali Menon,All India Trinamool Congress,29875,301,30176,19.48,154870,30176,32350,False
Balurghat,Anita Patel,Communist Party of India (Marxist),29363,296,29659,19.15,154870,29659,32350,False
Balurghat,Sanjay Reddy,Bharatiya Janata Party,21900,221,22121,14.28,154870,22121,32350,False
Balurghat,Manoj Sen,None of the Above,13843,139,13982,9.03,154870,13982,32350,False
Balurghat,Priya Reddy,Independent,3613,36,3649,2.36,154870,3649,32350,False
Tapan,Amit Sen,All India Trinamool Congress,57824,584,58408,28.36,205950,58408,58408,True
Tapan,Sunil Bora,Bharatiya Janata Party,27835,281,28116,13.65,205950,28116,58408,False
Tapan,Anjali Menon,Communist Party of India (Marxist),11056,111,11167,5.42,205950,11167,58408,False
Tapan,Suresh Gogoi,Indian National Congress,10098,102,10200,4.95,205950,10200,58408,False
Tapan,Deepa Roy,None of the Above,2647,26,2673,1.3,205950,2673,58408,False
Tapan,Sunil Gogoi,Independent,1929,19,1948,0.95,205950,1948,58408,False
Gangarampur,Suresh Bora,Indian National Congress,49315,498,49813,29.69,167749,49813,49813,True
Gangarampur,Suresh Singh,Communist Party of India (Marxist),10689,107,10796,6.44,167749,10796,49813,False
Gangarampur,Manoj Das,All India Trinamool Congress,10397,105,10502,6.26,167749,10502,49813,False
Gangarampur,Anita Menon,Bharatiya Janata Party,9894,99,9993,5.96,167749,9993,49813,False
Gangarampur,Suresh Roy,Independent,4488,45,4533,2.7,167749,4533,49813,False
Gangarampur,Deepa Gogoi,None of the Above,2173,21,2194,1.31,167749,2194,49813,False
Harirampur,Rahul Singh,Indian National Congress,66969,676,67645,28.99,233370,67645,67645,True
Harirampur,Manoj Sharma,All India Trinamool Congress,36995,373,37368,16.01,233370,37368,67645,False
Harirampur,Kavita Reddy,Bharatiya Janata Party,21097,213,21310,9.13,233370,21310,67645,False
Harirampur,Anita Das,None of the Above,20818,210,21028,9.01,233370,21028,67645,False
Harirampur,Sanjay Reddy,Communist Party of India (Marxist),9537,96,9633,4.13,233370,9633,67645,False
Harirampur,Sanjay Menon,Independent,1693,17,1710,0.73,233370,1710,67645,False
Habibpur,Anjali Singh,All India Trinamool Congress,83540,843,84383,38.07,221657,84383,84383,True
Habibpur,Manoj Das,Indian National Congress,34199,345,34544,15.58,221657,34544,84383,False
Habibpur,Amit Gogoi,Communist Party of India (Marxist),22539,227,22766,10.27,221657,22766,84383,False
Habibpur,Rahul Reddy,None of the Above,19931,201,20132,9.08,221657,20132,84383,False
Habibpur,Anita Patel,Bharatiya Janata Party,14252,143,14395,6.49,221657,14395,84383,False
Habibpur,Sanjay Singh,Independent,2950,29,2979,1.34,221657,2979,84383,False
Gazole,Suresh Reddy,All India Trinamool Congress,101862,1028,102890,47.12,218374,102890,102890,True
Gazole,Sunil Singh,None of the Above,34499,348,34847,15.96,218374,34847,102890,False
Gazole,Anjali Nair,Bharatiya Janata Party,25899,261,26160,11.98,218374,26160,102890,False
Gazole,Priya Das,Indian National Congress,8222,83,8305,3.8,218374,8305,102890,False
Gazole,Anjali Reddy,Communist Party of India (Marxist),3309,33,3342,1.53,218374,3342,102890,False
Gazole,Sunil Kumar,Independent,1613,16,1629,0.75,218374,1629,102890,False
Chanchal,Manoj Reddy,All India Trinamool Congress,110790,1119,111909,49.57,225755,111909,111909,True
Chanchal,Ramesh Bora,Bharatiya Janata Party,38947,393,39340,17.43,225755,39340,111909,False
Chanchal,Anita Patel,Indian National Congress,25670,259,25929,11.49,225755,25929,111909,False
Chanchal,Anita Sharma,Communist Party of India (Marxist),21523,217,21740,9.63,225755,21740,111909,False
Chanchal,Sanjay Patel,None of the Above,7429,75,7504,3.32,225755,7504,111909,False
Chanchal,Manoj Sharma,Independent,4934,49,4983,2.21,225755,4983,111909,False
Harishchandrapur,Amit Reddy,All India Trinamool Congress,69968,706,70674,34.11,207183,70674,70674,True
Harishchandrapur,Anjali Menon,Bharatiya Janata Party,49022,495,49517,23.9,207183,49517,70674,False
Harishchandrapur,Suresh Bora,Indian National Congress,36243,366,36609,17.67,207183,36609,70674,False
Harishchandrapur,Rahul Gogoi,Communist Party of India (Marxist),16408,165,16573,8.0,207183,16573,70674,False
Harishchandrapur,Deepa Singh,None of the Above,10126,102,10228,4.94,207183,10228,70674,False
Harishchandrapur,Manoj Nair,Independent,4561,46,4607,2.22,207183,4607,70674,False
Malatipur,Anita Gogoi,Indian National Congress,36380,367,36747,23.91,153676,36747,36747,True
Malatipur,Sanjay Kumar,All India Trinamool Congress,18911,191,19102,12.43,153676,19102,36747,False
Malatipur,Sanjay Reddy,Bharatiya Janata Party,17183,173,17356,11.29,153676,17356,36747,False
Malatipur,Priya Sen,None of the Above,11780,118,11898,7.74,153676,11898,36747,False
Malatipur,Sanjay Reddy,Communist Party of India (Marxist),3245,32,3277,2.13,153676,3277,36747,False
Malatipur,Priya Bora,Independent,2562,25,2587,1.68,153676,2587,36747,False
Ratua,Priya Das,Communist Party of India (Marxist),67937,686,68623,38.54,178041,68623,68623,True
Ratua,Priya Menon,All India Trinamool Congress,26046,263,26309,14.78,178041,26309,68623,False
Ratua,Sanjay Gogoi,None of the Above,24838,250,25088,14.09,178041,25088,68623,False
Ratua,Amit Das,Bharatiya Janata Party,5461,55,5516,3.1,178041,5516,68623,False
Ratua,Deepa Bora,Indian National Congress,4063,41,4104,2.31,178041,4104,68623,False
Ratua,Ramesh Gogoi,Independent,1941,19,1960,1.1,178041,1960,68623,False
Manikchak,Ramesh Reddy,Indian National Congress,68771,694,69465,33.78,205620,69465,69465,True
Manikchak,Suresh Kumar,All India Trinamool Congress,47508,479,47987,23.34,205620,47987,69465,False
Manikchak,Sanjay Bora,None of the Above,9274,93,9367,4.56,205620,9367,69465,False
Manikchak,Deepa Sharma,Independent,4750,47,4797,2.33,205620,4797,69465,False
Manikchak,Deepa Patel,Communist Party of India (Marxist),4639,46,4685,2.28,205620,4685,69465,False
Manikchak,Priya Roy,Bharatiya Janata Party,750,7,757,0.37,205620,757,69465,False
Maldaha,Anjali Patel,Indian National Congress,34077,344,34421,15.76,218415,34421,34421,True
Maldaha,Kavita Reddy,Communist Party of India (Marxist),31957,322,32279,14.78,218415,32279,34421,False
Maldaha,Amit Roy,Bharatiya Janata Party,21978,221,22199,10.16,218415,22199,34421,False
Maldaha,Sanjay Das,All India Trinamool Congress,18810,189,18999,8.7,218415,18999,34421,False
Maldaha,Amit Roy,Independent,4816,48,4864,2.23,218415,4864,34421,False
